Appname;Variable;ICC(2,k) Interrater;ICC(2,k) 95 conf;ICC(3,k) Interrater;ICC(3,k) 95 conf;ICC(3,1) Interrater;ICC(3,1) 95 conf
adidas Running: Lauf App;Unterhaltung;0.18518518518518534;[-0.73  0.87];0.3030303030303033;[-5.69  0.93];0.17857142857142877;[-0.74  0.86]
adidas Running: Lauf App;Interesse;0.4166666666666668;[-0.77  0.92];0.5405405405405408;[-3.41  0.95];0.37037037037037057;[-0.63  0.91]
adidas Running: Lauf App;Individuelle Anpassbarkeit;-2.1147105230955366e-16;[-1.48  0.85];-3.1720657846433045e-16;[-8.6  0.9];-1.586032892321652e-16;[-0.81  0.81]
adidas Running: Lauf App;Interaktivität;0.14285714285714285;[-0.51  0.83];0.2857142857142857;[-5.86  0.93];0.16666666666666666;[-0.75  0.86]
adidas Running: Lauf App;Zielgruppe;0.24390243902439032;[-0.28  0.85];0.5405405405405408;[-3.41  0.95];0.37037037037037057;[-0.63  0.91]
adidas Running: Lauf App;SECTION A: Engagement;0.21306818181818118;[-0.55  0.86];0.37359900373598887;[-5.02  0.93];0.22970903522205116;[-0.71  0.88]
adidas Running: Lauf App;Leistung;0.2631578947368421;[-0.38  0.87];0.5;[-3.8   0.95];0.3333333333333333;[-0.66  0.9 ]
adidas Running: Lauf App;Nutzerfreundlichkeit;-0.1724137931034483;[-1.    0.77];-0.4;[-12.45   0.85];-0.16666666666666666;[-0.86  0.75]
adidas Running: Lauf App;Navigation;-0.23809523809523786;[-1.6  0.8];-0.43478260869565183;[-12.78   0.85];-0.17857142857142846;[-0.86  0.74]
adidas Running: Lauf App;Motorisches, gestisches Design;-0.20833333333333376;[-1.17  0.77];-0.4545454545454553;[-12.97   0.85];-0.18518518518518545;[-0.87  0.74]
adidas Running: Lauf App;SECTION B: Funktionalität;-0.04597701149425253;[-0.85  0.8 ];-0.09685230024213007;[-9.53  0.89];-0.0461893764434177;[-0.83  0.8 ]
adidas Running: Lauf App;Layout;-0.1724137931034483;[-1.    0.77];-0.4;[-12.45   0.85];-0.16666666666666666;[-0.86  0.75]
adidas Running: Lauf App;Grafik;0.14285714285714285;[-0.51  0.83];0.2857142857142857;[-5.86  0.93];0.16666666666666666;[-0.75  0.86]
adidas Running: Lauf App;Visueller Anreiz;0.14285714285714285;[-0.51  0.83];0.2857142857142857;[-5.86  0.93];0.16666666666666666;[-0.75  0.86]
adidas Running: Lauf App;SECTION C: Ästhetik;0.05434000863047181;[-0.53  0.8 ];0.12471938139186792;[-7.41  0.91];0.066507049747273;[-0.79  0.83]
