App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Water time - Wasser Trinken,26,1,3,3,4,4,3,3.4,5,4,4,4,4.25,4,4,3,3.6666666666666665,O,O,4,O,1.0,2,2,2,3,2,3,2.3333333333333335
Wassertracker: Trinkerinnerung,26,1,4,4,5,5,5,4.6,5,5,5,5,5.0,5,5,5,5.0,O,O,4,O,1.0,4,3,3,4,2,4,3.3333333333333335
WaterMinder®・Water Tracker,26,1,3,3,4,4,4,3.6,5,4,4,4,4.25,4,4,4,4.0,O,O,4,O,1.0,2,2,2,3,2,3,2.3333333333333335
Plant Nanny Wasser Trinken App,26,1,4,3,2,3,4,3.2,5,4,4,4,4.25,4,4,4,4.0,O,O,4,O,1.0,2,2,2,3,2,3,2.3333333333333335
"Wasser tracker, water - Dropy",26,1,5,5,5,5,5,5.0,5,5,5,5,5.0,5,5,5,5.0,O,O,5,O,1.25,4,3,3,4,2,4,3.3333333333333335
Waterdrop Hydration App,26,1,3,3,4,4,4,3.6,5,4,4,4,4.25,4,4,4,4.0,O,O,4,O,1.0,3,2,2,3,2,3,2.5
Gerolsteiner TrinkCheck,26,1,3,3,3,3,4,3.2,5,4,5,5,4.75,4,4,4,4.0,O,O,4,O,1.0,3,3,3,4,2,4,3.1666666666666665
Sleep Recorder: Schlaf Analyse,26,1,4,4,5,4,4,4.2,4,4,4,4,4.0,5,4,4,4.333333333333333,4,4,5,4,4.25,3,2,2,2,2,2,2.1666666666666665
Alarmy - Wecker und Schlaf,26,1,3,3,4,4,4,3.6,4,4,4,4,4.0,4,4,4,4.0,4,4,4,4,4.0,2,2,2,2,2,2,2.0
Sleep Cycle - Sleep Tracker,26,1,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4,4,4.0,4,4,5,4,4.25,3,3,3,2,2,2,2.5
ShutEye - Schlaftracker,26,1,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4,4,4.0,4,4,5,4,4.25,3,2,2,2,2,2,2.1666666666666665
SnoreLab.schnarchen aufnehmen,26,1,3,3,4,4,4,3.6,4,4,4,4,4.0,4,4,4,4.0,4,4,3,4,3.75,2,2,2,2,2,2,2.0
Prime Sleep Recorder,26,1,3,3,3,4,3,3.2,4,3,4,4,3.75,3,4,3,3.3333333333333335,4,4,3,4,3.75,2,2,2,2,2,2,2.0
Sleepzy - Schlaftracker-Wecker,26,1,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4,4,4.0,4,4,4,4,4.0,2,2,2,2,2,2,2.0
Sleep Talk Recorder,26,1,2,2,2,1,2,1.8,4,3,3,2,3.0,2,2,2,2.0,3,3,2,2,2.5,1,1,1,1,1,1,1.0
Do I Snore or Grind ,26,1,3,3,3,3,3,3.0,4,3,4,3,3.5,2,3,2,2.3333333333333335,2,3,3,3,2.75,1,1,1,1,1,1,1.0
Dream Talk Recorder,26,1,1,1,2,1,1,1.2,2,2,2,2,2.0,2,2,1,1.6666666666666667,2,2,2,2,2.0,1,1,1,1,1,1,1.0
Headspace: Meditation & Schlaf,26,1,5,5,4,4,5,4.6,4,4,4,4,4.0,5,4,4,4.333333333333333,4,3,5,4,4.0,3,3,3,2,2,3,2.6666666666666665
"Fitness App-Gym Workout, Sport",26,1,3,3,4,4,3,3.4,4,3,4,4,3.75,4,3,3,3.3333333333333335,4,3,3,3,3.25,2,2,2,2,2,2,2.0
MyFitnessPal: Kalorien Tracker,26,1,4,4,5,4,4,4.2,3,4,4,3,3.5,4,4,4,4.0,4,4,4,4,4.0,2,3,3,2,2,2,2.3333333333333335
Lifesum: Kalorien Zähler,26,1,3,4,4,4,4,3.8,4,4,4,4,4.0,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
Fddb - Kalorienzähler & Diät,26,1,3,4,4,3,4,3.6,4,4,4,4,4.0,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
YAZIO: Kalorien Zähler & Diät,26,1,4,4,4,4,4,4.0,4,4,4,4,4.0,5,4,4,4.333333333333333,4,3,4,4,3.75,3,3,2,2,2,2,2.3333333333333335
adidas Running: Lauf App,26,1,3,3,4,4,4,3.6,4,4,4,4,4.0,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
Nike Run Club: Laufcoach,26,1,4,4,4,4,5,4.2,4,4,4,4,4.0,4,4,4,4.0,4,4,4,4,4.0,2,2,2,2,2,2,2.0
StepsApp Schrittzähler,26,1,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4,4,4.0,4,4,4,4,4.0,3,2,3,3,2,2,2.5
Asics Runkeeper Lauf-Tracker,26,1,3,3,4,4,4,3.6,4,4,4,4,4.0,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
WeightWatchers,26,1,3,4,4,4,5,4.0,4,4,4,4,4.0,5,5,5,5.0,4,4,4,3,3.75,4,3,4,4,3,4,3.6666666666666665
