App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Water time - Wasser Trinken,29,1,3,4,2,5,3,3.4,4,3,3,3,3.25,3,4,2,3.0,4,3,3,3,3.25,1,1,1,1,1,1,1.0
Wassertracker: Trinkerinnerung,29,1,3,2,2,5,3,3.0,4,3,3,4,3.5,4,4,3,3.6666666666666665,3,3,3,3,3.0,1,1,1,1,2,1,1.1666666666666667
WaterMinder®・Water Tracker,29,1,2,3,2,4,4,3.0,4,3,3,4,3.5,3,4,3,3.3333333333333335,3,3,3,3,3.0,1,1,1,1,2,1,1.1666666666666667
Plant Nanny Wasser Trinken App,29,1,4,4,3,3,3,3.4,4,3,3,4,3.5,4,4,3,3.6666666666666665,3,3,3,3,3.0,1,1,1,1,2,1,1.1666666666666667
"Wasser tracker, water - Dropy",29,1,4,3,3,3,3,3.2,4,3,3,3,3.25,4,4,3,3.6666666666666665,3,3,4,3,3.25,1,1,1,1,2,1,1.1666666666666667
Waterdrop Hydration App,29,1,3,3,2,4,4,3.2,4,3,3,3,3.25,4,4,3,3.6666666666666665,3,3,4,3,3.25,1,1,1,1,2,1,1.1666666666666667
Gerolsteiner TrinkCheck,29,1,2,3,4,4,3,3.2,4,3,3,3,3.25,3,4,3,3.3333333333333335,3,3,4,4,3.5,1,1,1,1,2,1,1.1666666666666667
Sleep Recorder: Schlaf Analyse,29,1,3,3,3,3,3,3.0,3,2,3,3,2.75,3,4,2,3.0,3,3,4,3,3.25,1,1,1,1,1,1,1.0
Alarmy - Wecker und Schlaf,29,1,3,4,5,4,4,4.0,4,4,3,4,3.75,4,4,4,4.0,4,4,4,4,4.0,2,2,2,2,2,2,2.0
Sleep Cycle - Sleep Tracker,29,1,2,3,3,4,3,3.0,4,3,3,4,3.5,3,4,3,3.3333333333333335,4,3,4,4,3.75,1,1,1,1,2,1,1.1666666666666667
ShutEye - Schlaftracker,29,1,2,2,3,3,3,2.6,4,3,3,3,3.25,3,3,3,3.0,4,3,4,4,3.75,1,1,1,1,2,1,1.1666666666666667
SnoreLab.schnarchen aufnehmen,29,1,3,3,3,3,3,3.0,3,3,3,4,3.25,3,4,3,3.3333333333333335,4,3,4,4,3.75,1,1,1,1,2,1,1.1666666666666667
Prime Sleep Recorder,29,1,2,4,4,4,3,3.4,4,3,3,3,3.25,3,3,3,3.0,3,3,3,3,3.0,1,1,1,1,1,1,1.0
Sleepzy - Schlaftracker-Wecker,29,1,3,3,3,3,3,3.0,3,4,3,4,3.5,3,3,3,3.0,4,3,3,3,3.25,1,1,1,1,1,1,1.0
Sleep Talk Recorder,29,1,2,4,4,3,3,3.2,4,3,3,3,3.25,4,3,3,3.3333333333333335,3,3,3,3,3.0,1,1,1,1,1,1,1.0
Do I Snore or Grind ,29,1,3,3,3,3,3,3.0,4,3,4,3,3.5,2,3,2,2.3333333333333335,2,3,3,3,2.75,1,1,1,1,1,1,1.0
Dream Talk Recorder,29,1,2,2,3,3,3,2.6,4,4,3,4,3.75,3,3,3,3.0,3,4,3,4,3.5,1,1,1,1,1,1,1.0
Headspace: Meditation & Schlaf,29,1,3,3,3,4,3,3.2,4,4,3,4,3.75,3,3,3,3.0,4,3,3,4,3.5,1,1,1,1,1,1,1.0
"Fitness App-Gym Workout, Sport",29,1,2,3,4,3,3,3.0,4,4,3,4,3.75,3,3,3,3.0,4,4,3,4,3.75,1,1,1,1,1,1,1.0
MyFitnessPal: Kalorien Tracker,29,1,2,3,4,3,3,3.0,4,3,4,4,3.75,3,4,3,3.3333333333333335,3,3,3,3,3.0,1,1,1,1,1,1,1.0
Lifesum: Kalorien Zähler,29,1,2,4,4,4,4,3.6,4,3,4,3,3.5,4,4,3,3.6666666666666665,3,3,3,3,3.0,1,1,1,1,1,1,1.0
Fddb - Kalorienzähler & Diät,29,1,3,3,4,3,3,3.2,4,3,4,3,3.5,3,4,3,3.3333333333333335,3,3,3,3,3.0,1,1,1,1,1,1,1.0
YAZIO: Kalorien Zähler & Diät,29,1,3,3,3,3,3,3.0,4,3,3,3,3.25,4,5,3,4.0,3,3,4,4,3.5,2,2,2,2,2,2,2.0
adidas Running: Lauf App,29,1,3,3,3,4,4,3.4,4,4,3,3,3.5,3,5,5,4.333333333333333,4,4,5,5,4.5,2,2,2,2,2,2,2.0
Nike Run Club: Laufcoach,29,1,3,4,5,4,4,4.0,5,4,3,3,3.75,4,5,5,4.666666666666667,4,4,5,5,4.5,1,1,1,1,1,1,1.0
StepsApp Schrittzähler,29,1,2,2,4,3,3,2.8,4,3,3,4,3.5,4,3,3,3.3333333333333335,3,3,3,3,3.0,1,1,1,1,1,1,1.0
